SampleID,FGA,TPO,D1S1609,D2S441,D8S1108,D21S2052,D18S51,Population
BOS_3,"14.0,14.3",NA,NA,NA,NA,NA,"11.0,12.0",Bosniaks
BOS_4,"15.0,18.2",NA,NA,NA,NA,NA,"12.0,14.0",Bosniaks
BOS_5,"16.2,17.2",NA,NA,NA,NA,NA,"13.2,14.2",Bosniaks
BOS_6,"15.0,14.3",NA,NA,NA,NA,NA,"11.2,12.0",Bosniaks
BOS_7,"16.2,19.0",NA,NA,NA,NA,NA,"12.0,11.0",Bosniaks
BOS_8,"17.2,14.0",NA,NA,NA,NA,NA,"12.2,13.0",Bosniaks
BOS_9,"14.0,17.2",NA,NA,NA,NA,NA,"10.2,11.0",Bosniaks
BOS_10,"16.0,14.0",NA,NA,NA,NA,NA,"11.2,11.0",Bosniaks
CRO_1,"14.0,15.0",NA,NA,NA,NA,NA,NA,Croatian
CRO_2,"10.0,15.0",NA,NA,NA,NA,NA,NA,Croatian
CRO_3,"15.0,16.0",NA,NA,NA,NA,NA,NA,Croatian
CRO_4,"13.0,10.0",NA,NA,NA,NA,NA,NA,Croatian
CRO_5,"15.0,16.2",NA,NA,NA,NA,NA,NA,Croatian
CRO_6,"16.0,16.0",NA,NA,NA,NA,NA,NA,Croatian
CRO_7,"16.0,13.0",NA,NA,NA,NA,NA,NA,Croatian
CRO_8,"17.0,10.0",NA,NA,NA,NA,NA,NA,Croatian
CRO_9,"14.3,14.3",NA,NA,NA,NA,NA,NA,Croatian
CRO_10,"14.0,16.0",NA,NA,NA,NA,NA,NA,Croatian
CYP_1,"17.2,15.0",NA,NA,NA,NA,NA,"14.0,12.2",Cypriot- Greek
CYP_2,"13.0,17.0",NA,NA,NA,NA,NA,"11.2,13.0",Cypriot- Greek
CYP_3,"16.1,17.2",NA,NA,NA,NA,NA,"14.0,11.2",Cypriot- Greek
CYP_4,"14.0,14.0",NA,NA,NA,NA,NA,"11.2,12.2",Cypriot- Greek
CYP_5,"13.0,17.2",NA,NA,NA,NA,NA,"12.0,12.0",Cypriot- Greek
CYP_6,"14.3,18.2",NA,NA,NA,NA,NA,"12.2,12.0",Cypriot- Greek
CYP_7,"13.0,15.0",NA,NA,NA,NA,NA,"13.0,11.2",Cypriot- Greek
CYP_8,"15.0,16.1",NA,NA,NA,NA,NA,"11.2,13.0",Cypriot- Greek
CYP_9,"15.0,13.0",NA,NA,NA,NA,NA,"13.0,11.0",Cypriot- Greek
CYP_10,"14.0,14.3",NA,NA,NA,NA,NA,"12.2,15.2",Cypriot- Greek
CZE_1,"16.1,16.1",NA,NA,NA,NA,NA,"12.2,13.2",Czech
CZE_2,"16.1,18.0",NA,NA,NA,NA,NA,"13.2,14.0",Czech
CZE_3,"15.0,16.1",NA,NA,NA,NA,NA,"14.2,13.2",Czech
CZE_4,"18.0,14.0",NA,NA,NA,NA,NA,"13.0,12.2",Czech
CZE_5,"17.2,15.0",NA,NA,NA,NA,NA,"13.0,12.0",Czech
CZE_6,"16.1,19.0",NA,NA,NA,NA,NA,"12.2,11.0",Czech
CZE_7,"15.0,17.0",NA,NA,NA,NA,NA,"10.2,12.2",Czech
CZE_8,"14.0,18.0",NA,NA,NA,NA,NA,"12.0,12.0",Czech
CZE_9,"18.2,16.1",NA,NA,NA,NA,NA,"13.0,11.0",Czech
CZE_10,"18.2,10.0",NA,NA,NA,NA,NA,"12.0,13.0",Czech
DUT_1,"17.2,17.0",NA,NA,NA,NA,NA,NA,Dutch
DUT_2,"15.0,16.1",NA,NA,NA,NA,NA,NA,Dutch
DUT_3,"16.1,14.3",NA,NA,NA,NA,NA,NA,Dutch
DUT_4,"17.0,14.3",NA,NA,NA,NA,NA,NA,Dutch
DUT_5,"14.3,15.0",NA,NA,NA,NA,NA,NA,Dutch
DUT_6,"17.0,17.2",NA,NA,NA,NA,NA,NA,Dutch
DUT_7,"14.0,16.1",NA,NA,NA,NA,NA,NA,Dutch
DUT_8,"13.0,14.3",NA,NA,NA,NA,NA,NA,Dutch
DUT_9,"16.1,14.0",NA,NA,NA,NA,NA,NA,Dutch
DUT_10,"17.0,14.3",NA,NA,NA,NA,NA,NA,Dutch
EUR_1,"20.4,16.0",NA,NA,NA,NA,NA,"15.2,11.0",European Americans
EUR_2,"16.2,16.0",NA,NA,NA,NA,NA,"10.2,11.2",European Americans
EUR_3,"14.0,17.2",NA,NA,NA,NA,NA,"11.0,12.0",European Americans
EUR_4,"16.0,18.0",NA,NA,NA,NA,NA,"13.2,13.0",European Americans
EUR_5,"16.2,17.0",NA,NA,NA,NA,NA,"12.2,11.0",European Americans
EUR_6,"16.0,18.0",NA,NA,NA,NA,NA,"13.0,11.0",European Americans
EUR_7,"16.2,15.0",NA,NA,NA,NA,NA,"12.2,14.0",European Americans
EUR_8,"17.0,16.2",NA,NA,NA,NA,NA,"12.0,12.0",European Americans
EUR_9,"16.0,18.0",NA,NA,NA,NA,NA,"11.2,10.2",European Americans
EUR_10,"14.0,14.3",NA,NA,NA,NA,NA,"11.2,11.0",European Americans
EUR_1,"20.0,16.2",NA,NA,NA,NA,NA,"12.0,12.2",European Canadians
EUR_2,"19.0,19.0",NA,NA,NA,NA,NA,"11.2,11.2",European Canadians
EUR_3,"17.0,20.0",NA,NA,NA,NA,NA,"13.0,14.0",European Canadians
EUR_4,"18.0,18.0",NA,NA,NA,NA,NA,"11.0,10.2",European Canadians
EUR_5,"14.0,19.0",NA,NA,NA,NA,NA,"12.2,11.0",European Canadians
EUR_6,"16.1,15.0",NA,NA,NA,NA,NA,"12.2,13.0",European Canadians
EUR_7,"18.0,17.0",NA,NA,NA,NA,NA,"14.2,12.0",European Canadians
EUR_8,"18.0,15.0",NA,NA,NA,NA,NA,"11.0,10.2",European Canadians
EUR_9,"19.0,20.0",NA,NA,NA,NA,NA,"13.2,12.2",European Canadians
EUR_10,"20.4,20.4",NA,NA,NA,NA,NA,"12.2,11.2",European Canadians
FLE_1,"16.0,18.2",NA,NA,NA,NA,NA,NA,Fleming
FLE_2,"18.0,17.0",NA,NA,NA,NA,NA,NA,Fleming
FLE_3,"14.3,14.3",NA,NA,NA,NA,NA,NA,Fleming
FLE_4,"13.0,18.2",NA,NA,NA,NA,NA,NA,Fleming
FLE_5,"14.3,16.0",NA,NA,NA,NA,NA,NA,Fleming
FLE_6,"18.0,14.3",NA,NA,NA,NA,NA,NA,Fleming
FLE_7,"18.2,16.1",NA,NA,NA,NA,NA,NA,Fleming
FLE_8,"18.0,16.1",NA,NA,NA,NA,NA,NA,Fleming
FLE_9,"15.0,16.0",NA,NA,NA,NA,NA,NA,Fleming
FLE_10,"16.1,16.1",NA,NA,NA,NA,NA,NA,Fleming
GAL_1,"19.2,16.1",NA,NA,NA,NA,NA,"15.0,12.2",Galician
GAL_2,"14.0,16.0",NA,NA,NA,NA,NA,"12.0,12.0",Galician
GAL_3,"16.0,14.0",NA,NA,NA,NA,NA,"13.0,13.0",Galician
GAL_4,"14.0,17.0",NA,NA,NA,NA,NA,"12.2,14.0",Galician
GAL_5,"14.0,14.3",NA,NA,NA,NA,NA,"12.2,12.0",Galician
GAL_6,"20.0,16.0",NA,NA,NA,NA,NA,"12.0,11.0",Galician
GAL_7,"15.0,16.0",NA,NA,NA,NA,NA,"15.0,14.0",Galician
GAL_8,"16.2,16.2",NA,NA,NA,NA,NA,"12.2,16.0",Galician
GAL_9,"20.2,17.2",NA,NA,NA,NA,NA,"12.2,12.2",Galician
GAL_10,"16.0,13.0",NA,NA,NA,NA,NA,"14.2,10.2",Galician
GER_1,"16.2,15.0",NA,NA,NA,NA,NA,"11.0,12.2",Germans
GER_2,"16.2,14.0",NA,NA,NA,NA,NA,"12.2,13.2",Germans
GER_3,"15.0,16.0",NA,NA,NA,NA,NA,"13.0,13.2",Germans
GER_4,"16.2,16.0",NA,NA,NA,NA,NA,"14.0,12.2",Germans
GER_5,"16.0,16.0",NA,NA,NA,NA,NA,"14.0,12.0",Germans
GER_6,"17.2,18.2",NA,NA,NA,NA,NA,"14.0,12.2",Germans
GER_7,"14.3,17.2",NA,NA,NA,NA,NA,"12.2,13.0",Germans
GER_8,"13.0,17.2",NA,NA,NA,NA,NA,"11.0,14.2",Germans
GER_9,"16.2,15.0",NA,NA,NA,NA,NA,"11.0,12.0",Germans
GER_10,"16.1,14.0",NA,NA,NA,NA,NA,"11.0,12.2",Germans
GRE_1,"16.2,16.2",NA,NA,NA,NA,NA,"13.2,11.0",Greeks
GRE_2,"16.2,10.0",NA,NA,NA,NA,NA,"12.0,11.0",Greeks
GRE_3,"13.0,17.0",NA,NA,NA,NA,NA,"12.2,12.2",Greeks
GRE_4,"13.0,18.0",NA,NA,NA,NA,NA,"12.0,10.2",Greeks
GRE_5,"18.0,16.2",NA,NA,NA,NA,NA,"13.2,12.2",Greeks
GRE_6,"16.0,16.0",NA,NA,NA,NA,NA,"11.0,11.2",Greeks
GRE_7,"16.0,18.2",NA,NA,NA,NA,NA,"10.2,15.0",Greeks
GRE_8,"13.0,14.3",NA,NA,NA,NA,NA,"10.2,13.2",Greeks
GRE_9,"16.0,15.0",NA,NA,NA,NA,NA,"10.2,11.0",Greeks
GRE_10,"14.3,16.1",NA,NA,NA,NA,NA,"10.2,10.2",Greeks
HUN_1,"18.0,14.0",NA,NA,NA,NA,NA,"12.2,11.2",Hungarian
HUN_2,"13.0,15.0",NA,NA,NA,NA,NA,"11.2,11.2",Hungarian
HUN_3,"13.0,14.3",NA,NA,NA,NA,NA,"13.2,14.0",Hungarian
HUN_4,"15.0,17.0",NA,NA,NA,NA,NA,"13.2,10.2",Hungarian
HUN_5,"14.3,14.3",NA,NA,NA,NA,NA,"14.0,11.2",Hungarian
HUN_6,"16.1,17.0",NA,NA,NA,NA,NA,"13.2,11.2",Hungarian
HUN_7,"17.0,15.0",NA,NA,NA,NA,NA,"11.2,11.0",Hungarian
HUN_8,"16.0,16.1",NA,NA,NA,NA,NA,"16.2,13.0",Hungarian
HUN_9,"14.3,14.3",NA,NA,NA,NA,NA,"12.0,15.0",Hungarian
HUN_10,"14.0,14.0",NA,NA,NA,NA,NA,"11.0,14.2",Hungarian
ITA_1,"19.0,15.0","109.0,109.0","162.0,172.0","132.0,135.0","252.0,252.0","133.0,141.0","12.2,13.2",Italians
ITA_2,"14.3,15.0","121.0,109.0","162.0,176.0","127.0,131.0","252.0,252.0","129.0,125.0","11.2,11.0",Italians
ITA_3,"16.1,13.0","121.0,113.0","176.0,162.0","132.0,132.0","252.0,252.0","100.0,141.0","11.2,14.0",Italians
ITA_4,"16.2,14.0","113.0,109.0","192.0,176.0","127.0,131.0","252.0,252.0","117.0,100.0","13.0,15.2",Italians
ITA_5,"14.0,14.0","121.0,121.0","172.0,180.0","127.0,134.0","252.0,256.0","121.0,117.0","14.0,11.2",Italians
ITA_6,"19.0,16.0","109.0,109.0","180.0,176.0","131.0,131.0","252.0,252.0","117.0,133.0","12.0,13.0",Italians
ITA_7,"17.2,20.0","109.0,109.0","176.0,172.0","134.0,139.0","252.0,252.0","137.0,133.0","10.0,12.0",Italians
ITA_8,"19.2,18.0","109.0,109.0","156.0,156.0","131.0,136.0","248.0,252.0","100.0,141.0","13.0,11.2",Italians
ITA_9,"14.0,18.2","113.0,121.0","162.0,176.0","131.0,127.0","252.0,248.0","117.0,125.0","13.0,11.0",Italians
ITA_10,"17.0,16.0","121.0,117.0","162.0,180.0","127.0,131.0","252.0,244.0","125.0,121.0","12.2,13.2",Italians
JEW_1,"16.1,15.0",NA,NA,NA,NA,NA,"12.2,12.0",Jews- Ashkenazi
JEW_2,"13.0,15.0",NA,NA,NA,NA,NA,"11.0,14.0",Jews- Ashkenazi
JEW_3,"10.0,17.0",NA,NA,NA,NA,NA,"12.2,12.2",Jews- Ashkenazi
JEW_4,"14.0,14.0",NA,NA,NA,NA,NA,"11.2,11.2",Jews- Ashkenazi
JEW_5,"14.0,15.0",NA,NA,NA,NA,NA,"11.0,12.0",Jews- Ashkenazi
JEW_6,"19.2,15.0",NA,NA,NA,NA,NA,"11.2,14.0",Jews- Ashkenazi
JEW_7,"19.0,15.0",NA,NA,NA,NA,NA,"12.2,11.2",Jews- Ashkenazi
JEW_8,"15.0,17.0",NA,NA,NA,NA,NA,"12.2,12.0",Jews- Ashkenazi
JEW_9,"15.0,18.0",NA,NA,NA,NA,NA,"12.2,12.2",Jews- Ashkenazi
JEW_10,"14.0,17.2",NA,NA,NA,NA,NA,"14.0,11.2",Jews- Ashkenazi
LIT_1,"14.0,14.3",NA,NA,NA,NA,NA,"10.0,12.0",Lithuanian
LIT_2,"16.0,17.0",NA,NA,NA,NA,NA,"11.0,11.0",Lithuanian
LIT_3,"14.3,15.0",NA,NA,NA,NA,NA,"12.0,14.0",Lithuanian
LIT_4,"16.2,17.0",NA,NA,NA,NA,NA,"13.2,12.2",Lithuanian
LIT_5,"16.0,17.0",NA,NA,NA,NA,NA,"13.2,10.2",Lithuanian
LIT_6,"16.0,13.0",NA,NA,NA,NA,NA,"11.0,13.2",Lithuanian
LIT_7,"14.3,10.0",NA,NA,NA,NA,NA,"12.2,11.2",Lithuanian
LIT_8,"16.2,14.0",NA,NA,NA,NA,NA,"14.0,15.0",Lithuanian
LIT_9,"18.0,16.2",NA,NA,NA,NA,NA,"13.0,12.2",Lithuanian
LIT_10,"10.0,18.2",NA,NA,NA,NA,NA,"13.0,12.0",Lithuanian
MAC_1,"18.2,14.3",NA,NA,NA,NA,NA,NA,Macedonian
MAC_2,"16.0,16.2",NA,NA,NA,NA,NA,NA,Macedonian
MAC_3,"15.0,16.0",NA,NA,NA,NA,NA,NA,Macedonian
MAC_4,"15.0,18.2",NA,NA,NA,NA,NA,NA,Macedonian
MAC_5,"17.2,16.0",NA,NA,NA,NA,NA,NA,Macedonian
MAC_6,"16.0,14.0",NA,NA,NA,NA,NA,NA,Macedonian
MAC_7,"14.0,16.0",NA,NA,NA,NA,NA,NA,Macedonian
MAC_8,"16.0,16.0",NA,NA,NA,NA,NA,NA,Macedonian
MAC_9,"14.3,18.2",NA,NA,NA,NA,NA,NA,Macedonian
MAC_10,"19.0,17.2",NA,NA,NA,NA,NA,NA,Macedonian
POL_1,"18.2,17.0",NA,NA,NA,NA,NA,"13.2,12.2",Poles
POL_2,"16.1,16.0",NA,NA,NA,NA,NA,"12.2,12.2",Poles
POL_3,"19.0,16.1",NA,NA,NA,NA,NA,"12.2,12.2",Poles
POL_4,"14.0,15.0",NA,NA,NA,NA,NA,"13.0,13.0",Poles
POL_5,"16.1,18.2",NA,NA,NA,NA,NA,"13.2,12.2",Poles
POL_6,"15.0,19.0",NA,NA,NA,NA,NA,"11.2,12.0",Poles
POL_7,"14.0,14.3",NA,NA,NA,NA,NA,"11.0,12.2",Poles
POL_8,"15.0,14.0",NA,NA,NA,NA,NA,"12.2,14.0",Poles
POL_9,"16.0,17.2",NA,NA,NA,NA,NA,"12.0,11.2",Poles
POL_10,"16.0,14.3",NA,NA,NA,NA,NA,"10.2,12.0",Poles
POR_1,"16.1,16.1",NA,NA,NA,NA,NA,"11.2,12.2",Portuguese
POR_2,"16.0,14.3",NA,NA,NA,NA,NA,"13.0,13.2",Portuguese
POR_3,"16.0,17.2",NA,NA,NA,NA,NA,"12.2,11.0",Portuguese
POR_4,"16.0,15.0",NA,NA,NA,NA,NA,"12.0,12.0",Portuguese
POR_5,"14.0,16.1",NA,NA,NA,NA,NA,"11.0,13.2",Portuguese
POR_6,"14.3,17.0",NA,NA,NA,NA,NA,"12.0,12.2",Portuguese
POR_7,"17.0,15.0",NA,NA,NA,NA,NA,"12.2,12.2",Portuguese
POR_8,"15.0,14.0",NA,NA,NA,NA,NA,"12.0,14.0",Portuguese
POR_9,"16.0,15.0",NA,NA,NA,NA,NA,"13.2,11.0",Portuguese
POR_10,"16.2,14.3",NA,NA,NA,NA,NA,"12.0,13.2",Portuguese
ROM_1,"17.0,19.2",NA,NA,NA,NA,NA,"10.0,13.0",Roma
ROM_2,"15.0,14.0",NA,NA,NA,NA,NA,"12.2,16.2",Roma
ROM_3,"18.0,18.2",NA,NA,NA,NA,NA,"13.2,14.2",Roma
ROM_4,"13.0,18.0",NA,NA,NA,NA,NA,"16.0,13.2",Roma
ROM_5,"14.3,18.0",NA,NA,NA,NA,NA,"11.0,12.2",Roma
ROM_6,"13.0,19.0",NA,NA,NA,NA,NA,"11.2,13.0",Roma
ROM_7,"14.3,14.0",NA,NA,NA,NA,NA,"11.2,13.2",Roma
ROM_8,"13.0,16.2",NA,NA,NA,NA,NA,"11.0,13.2",Roma
ROM_9,"14.0,18.2",NA,NA,NA,NA,NA,"13.2,12.2",Roma
ROM_10,"15.0,14.0",NA,NA,NA,NA,NA,"12.0,12.2",Roma
RUS_1,"16.1,16.1","113.0,113.0","172.0,172.0","136.0,127.0","248.0,248.0","137.0,129.0","14.0,11.0",Russians
RUS_2,"16.1,16.1","121.0,113.0","162.0,162.0","131.0,131.0","248.0,248.0","100.0,129.0","12.0,15.0",Russians
RUS_3,"16.1,14.3","113.0,113.0","172.0,180.0","131.0,135.0","248.0,248.0","129.0,125.0","13.0,12.0",Russians
RUS_4,"18.2,16.1","113.0,125.0","162.0,172.0","131.0,134.0","248.0,252.0","125.0,133.0","13.2,10.2",Russians
RUS_5,"15.0,15.0","113.0,113.0","176.0,162.0","132.0,131.0","248.0,248.0","125.0,129.0","11.2,13.2",Russians
RUS_6,"17.0,18.2","113.0,113.0","162.0,162.0","131.0,131.0","244.0,248.0","129.0,133.0","17.0,14.0",Russians
RUS_7,"18.0,18.2","125.0,113.0","172.0,162.0","131.0,135.0","248.0,248.0","129.0,137.0","14.2,15.0",Russians
RUS_8,"18.2,14.3","113.0,113.0","172.0,188.0","127.0,131.0","248.0,252.0","129.0,129.0","14.2,11.0",Russians
RUS_9,"14.0,16.1","113.0,113.0","172.0,162.0","135.0,131.0","248.0,248.0","133.0,133.0","13.2,11.2",Russians
RUS_10,"18.2,18.0","121.0,113.0","172.0,156.0","135.0,131.0","248.0,252.0","141.0,129.0","17.0,11.2",Russians
SCO_1,"14.3,14.3",NA,NA,NA,NA,NA,"13.2,11.0",Scot
SCO_2,"18.2,16.2",NA,NA,NA,NA,NA,"13.0,11.0",Scot
SCO_3,"18.0,18.0",NA,NA,NA,NA,NA,"13.2,13.2",Scot
SCO_4,"18.0,14.0",NA,NA,NA,NA,NA,"14.0,12.2",Scot
SCO_5,"14.3,16.2",NA,NA,NA,NA,NA,"11.2,13.0",Scot
SCO_6,"14.3,17.2",NA,NA,NA,NA,NA,"12.2,11.2",Scot
SCO_7,"16.2,14.0",NA,NA,NA,NA,NA,"14.2,14.0",Scot
SCO_8,"18.0,16.2",NA,NA,NA,NA,NA,"13.0,11.2",Scot
SCO_9,"14.0,16.1",NA,NA,NA,NA,NA,"13.0,13.2",Scot
SCO_10,"14.3,16.0",NA,NA,NA,NA,NA,"13.0,12.0",Scot
SER_1,"15.0,16.0",NA,NA,NA,NA,NA,"12.2,11.0",Serb
SER_2,"15.0,13.0",NA,NA,NA,NA,NA,"11.0,11.2",Serb
SER_3,"14.0,17.0",NA,NA,NA,NA,NA,"10.2,11.0",Serb
SER_4,"14.0,14.3",NA,NA,NA,NA,NA,"10.2,12.2",Serb
SER_5,"14.3,14.3",NA,NA,NA,NA,NA,"14.0,11.2",Serb
SER_6,"14.0,16.1",NA,NA,NA,NA,NA,"14.0,13.0",Serb
SER_7,"16.2,14.0",NA,NA,NA,NA,NA,"12.0,11.0",Serb
SER_8,"14.3,14.0",NA,NA,NA,NA,NA,"15.2,11.2",Serb
SER_9,"17.2,15.0",NA,NA,NA,NA,NA,"12.0,11.2",Serb
SER_10,"16.1,14.3",NA,NA,NA,NA,NA,"12.0,14.2",Serb
SIC_1,"16.2,16.0",NA,NA,NA,NA,NA,NA,Sicilian
SIC_2,"15.0,10.0",NA,NA,NA,NA,NA,NA,Sicilian
SIC_3,"13.0,15.0",NA,NA,NA,NA,NA,NA,Sicilian
SIC_4,"16.0,15.0",NA,NA,NA,NA,NA,NA,Sicilian
SIC_5,"16.2,15.0",NA,NA,NA,NA,NA,NA,Sicilian
SIC_6,"15.0,16.0",NA,NA,NA,NA,NA,NA,Sicilian
SIC_7,"13.0,15.0",NA,NA,NA,NA,NA,NA,Sicilian
SIC_8,"16.1,14.3",NA,NA,NA,NA,NA,NA,Sicilian
SIC_9,"14.0,17.0",NA,NA,NA,NA,NA,NA,Sicilian
SIC_10,"16.0,15.0",NA,NA,NA,NA,NA,NA,Sicilian
SLO_1,"16.0,16.2",NA,NA,NA,NA,NA,"12.2,12.0",Slovenes
SLO_2,"16.1,18.2",NA,NA,NA,NA,NA,"11.2,11.2",Slovenes
SLO_3,"14.3,14.3",NA,NA,NA,NA,NA,"11.2,13.0",Slovenes
SLO_4,"15.0,18.2",NA,NA,NA,NA,NA,"15.0,13.0",Slovenes
SLO_5,"14.0,14.0",NA,NA,NA,NA,NA,"12.2,13.0",Slovenes
SLO_6,"18.0,18.2",NA,NA,NA,NA,NA,"12.0,12.0",Slovenes
SLO_7,"17.0,19.0",NA,NA,NA,NA,NA,"13.2,15.0",Slovenes
SLO_8,"15.0,16.2",NA,NA,NA,NA,NA,"12.2,11.2",Slovenes
SLO_9,"14.3,18.0",NA,NA,NA,NA,NA,"14.0,11.0",Slovenes
SLO_10,"18.2,14.3",NA,NA,NA,NA,NA,"12.2,11.0",Slovenes
SPA_1,"14.3,14.0",NA,NA,NA,NA,NA,"14.2,14.2",Spaniards
SPA_2,"10.0,14.0",NA,NA,NA,NA,NA,"12.2,12.2",Spaniards
SPA_3,"14.3,14.0",NA,NA,NA,NA,NA,"13.2,11.2",Spaniards
SPA_4,"17.2,14.3",NA,NA,NA,NA,NA,"14.2,13.0",Spaniards
SPA_5,"14.3,17.2",NA,NA,NA,NA,NA,"15.0,12.0",Spaniards
SPA_6,"13.0,13.0",NA,NA,NA,NA,NA,"12.0,12.0",Spaniards
SPA_7,"16.2,14.3",NA,NA,NA,NA,NA,"14.2,10.2",Spaniards
SPA_8,"17.0,20.0",NA,NA,NA,NA,NA,"11.2,13.0",Spaniards
SPA_9,"14.3,15.0",NA,NA,NA,NA,NA,"13.0,10.2",Spaniards
SPA_10,"14.0,16.0",NA,NA,NA,NA,NA,"12.2,14.0",Spaniards
SWI_1,"14.0,16.2",NA,NA,NA,NA,NA,"11.0,11.0",Swiss
SWI_2,"16.0,14.3",NA,NA,NA,NA,NA,"11.2,11.2",Swiss
SWI_3,"14.0,16.2",NA,NA,NA,NA,NA,"11.2,12.0",Swiss
SWI_4,"13.0,17.2",NA,NA,NA,NA,NA,"12.2,12.0",Swiss
SWI_5,"14.0,18.0",NA,NA,NA,NA,NA,"12.0,14.0",Swiss
SWI_6,"16.2,14.3",NA,NA,NA,NA,NA,"13.0,10.2",Swiss
SWI_7,"17.2,16.0",NA,NA,NA,NA,NA,"13.2,13.0",Swiss
SWI_8,"13.0,17.2",NA,NA,NA,NA,NA,"11.0,11.2",Swiss
SWI_9,"16.0,14.0",NA,NA,NA,NA,NA,"12.2,11.2",Swiss
SWI_10,"13.0,16.2",NA,NA,NA,NA,NA,"11.2,13.0",Swiss
PAK_1,"17.2,17.2",NA,NA,NA,NA,NA,"12.0,12.0",Pakistani
PAK_2,"18.2,18.2",NA,NA,NA,NA,NA,"12.2,11.2",Pakistani
PAK_3,"16.0,17.2",NA,NA,NA,NA,NA,"12.0,12.2",Pakistani
PAK_4,"17.2,17.2",NA,NA,NA,NA,NA,"11.2,16.0",Pakistani
PAK_5,"18.2,16.2",NA,NA,NA,NA,NA,"11.2,12.0",Pakistani
PAK_6,"17.2,14.0",NA,NA,NA,NA,NA,"11.2,14.0",Pakistani
PAK_7,"18.2,18.2",NA,NA,NA,NA,NA,"13.0,13.2",Pakistani
PAK_8,"16.2,16.2",NA,NA,NA,NA,NA,"12.0,12.2",Pakistani
PAK_9,"16.1,16.2",NA,NA,NA,NA,NA,"13.2,12.0",Pakistani
PAK_10,"19.2,18.2",NA,NA,NA,NA,NA,"12.0,15.2",Pakistani
IND_1,"16.1,19.2",NA,NA,NA,NA,NA,"12.0,13.0",Indian- Mixed
IND_2,"14.0,17.0",NA,NA,NA,NA,NA,"13.0,14.0",Indian- Mixed
IND_3,"15.0,16.0",NA,NA,NA,NA,NA,"12.2,12.0",Indian- Mixed
IND_4,"14.0,17.2",NA,NA,NA,NA,NA,"11.2,14.2",Indian- Mixed
IND_5,"20.2,14.3",NA,NA,NA,NA,NA,"11.2,12.2",Indian- Mixed
IND_6,"13.0,14.3",NA,NA,NA,NA,NA,"14.0,12.2",Indian- Mixed
IND_7,"18.0,18.0",NA,NA,NA,NA,NA,"13.0,12.2",Indian- Mixed
IND_8,"17.2,16.1",NA,NA,NA,NA,NA,"12.0,13.2",Indian- Mixed
IND_9,"19.0,20.0",NA,NA,NA,NA,NA,"11.0,12.2",Indian- Mixed
IND_10,"18.2,10.0",NA,NA,NA,NA,NA,"12.2,11.2",Indian- Mixed
TUR_1,"17.0,14.3",NA,NA,NA,NA,NA,"14.2,13.2",Turks
TUR_2,"17.0,17.0",NA,NA,NA,NA,NA,"11.0,11.2",Turks
TUR_3,"16.0,16.2",NA,NA,NA,NA,NA,"12.2,12.2",Turks
TUR_4,"14.3,16.2",NA,NA,NA,NA,NA,"13.2,11.2",Turks
TUR_5,"14.0,17.0",NA,NA,NA,NA,NA,"11.0,14.0",Turks
TUR_6,"14.3,15.0",NA,NA,NA,NA,NA,"14.0,13.0",Turks
TUR_7,"18.0,14.3",NA,NA,NA,NA,NA,"11.0,13.0",Turks
TUR_8,"16.1,18.0",NA,NA,NA,NA,NA,"14.2,13.0",Turks
TUR_9,"16.2,16.1",NA,NA,NA,NA,NA,"12.0,14.0",Turks
TUR_10,"17.2,16.0",NA,NA,NA,NA,NA,"11.2,14.0",Turks
AFG_1,"16.2,17.0",NA,NA,NA,NA,NA,"10.2,11.2",Afghan
AFG_2,"17.0,16.0",NA,NA,NA,NA,NA,"11.2,12.0",Afghan
AFG_3,"13.0,16.1",NA,NA,NA,NA,NA,"12.2,11.2",Afghan
AFG_4,"16.2,16.1",NA,NA,NA,NA,NA,"11.0,11.0",Afghan
AFG_5,"17.0,17.0",NA,NA,NA,NA,NA,"10.2,12.0",Afghan
AFG_6,"16.1,16.2",NA,NA,NA,NA,NA,"11.2,13.0",Afghan
AFG_7,"16.0,16.2",NA,NA,NA,NA,NA,"12.2,13.0",Afghan
AFG_8,"16.1,17.2",NA,NA,NA,NA,NA,"12.2,11.2",Afghan
AFG_9,"16.0,16.2",NA,NA,NA,NA,NA,"12.0,11.2",Afghan
AFG_10,"13.0,16.1",NA,NA,NA,NA,NA,"12.0,14.0",Afghan
AGH_1,"15.0,20.0",NA,NA,NA,NA,NA,"15.2,13.2",Agharia
AGH_2,"20.0,15.0",NA,NA,NA,NA,NA,"13.2,15.0",Agharia
AGH_3,"16.0,15.0",NA,NA,NA,NA,NA,"11.2,13.2",Agharia
AGH_4,"19.0,15.0",NA,NA,NA,NA,NA,"12.0,14.2",Agharia
AGH_5,"20.2,15.0",NA,NA,NA,NA,NA,"10.2,10.2",Agharia
AGH_6,"17.2,13.0",NA,NA,NA,NA,NA,"10.2,12.2",Agharia
AGH_7,"20.4,17.0",NA,NA,NA,NA,NA,"12.2,12.2",Agharia
AGH_8,"18.0,14.3",NA,NA,NA,NA,NA,"12.2,12.2",Agharia
AGH_9,"14.3,19.0",NA,NA,NA,NA,NA,"10.2,11.2",Agharia
AGH_10,"17.0,18.0",NA,NA,NA,NA,NA,"11.0,11.0",Agharia
AKU_1,"17.0,18.2",NA,NA,NA,NA,NA,"13.0,12.2",Akuthota
AKU_2,"19.2,18.0",NA,NA,NA,NA,NA,"13.0,11.0",Akuthota
